"Label","#","iri","term_iri","issued","term_localName","DateLastUpdated","prefLabel","IE Class","InformationElement:ActedUpon","InformationElement:Consulted","Parameters","Specification","AuthoritiesDefaults","Description","Criterion Label","Type","Resource Type","Dimension","Criterion","Enhancement","Examples","Source","References","Example Implementations (Mechanisms)","Link to Specification Source Code","Notes","IssueState","IssueLabels","UseCases"
"VALIDATION_EVENTDATE_NOTEMPTY","33","https://rs.tdwg.org/bdqcore/terms/version/f51e15a6-a67d-4729-9c28-3766299d2985-2023-09-17","https://rs.tdwg.org/bdqcore/terms/f51e15a6-a67d-4729-9c28-3766299d2985","2024-09-04","f51e15a6-a67d-4729-9c28-3766299d2985","2023-09-17","Validation dwc:eventDate Not Empty","dwc:Event","dwc:eventDate",,"","COMPLIANT if dwc:eventDate is bdq:NotEmpty; otherwise NOT_COMPLIANT","","Is there a value in dwc:eventDate?","Completeness: notempty","Validation","SingleRecord","Completeness","NotEmpty",,"[dwc:eventDate=""1964-11-01T10:00-0600"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:eventdate is bdq:NotEmpty""],[dwc:eventDate="""": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:eventDate is bdq:Empty""]","TG2-Gainesville","","FilteredPush/Kurator:event_date_qc [10.5281/zenodo.596795](https://doi.org/10.5281/zenodo.596795).","event_date_qc v3.0.0 [DwCEventDQ.validationEventdateNotEmpty()](https://github.com/FilteredPush/event_date_qc/blob/v3.0.0/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L182)","","open","TG2 Validation TIME CODED Test Completeness CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"VALIDATION_EVENTDATE_INRANGE","36","https://rs.tdwg.org/bdqcore/terms/version/3cff4dc4-72e9-4abe-9bf3-8a30f1618432-2024-09-16","https://rs.tdwg.org/bdqcore/terms/3cff4dc4-72e9-4abe-9bf3-8a30f1618432","2024-09-16","3cff4dc4-72e9-4abe-9bf3-8a30f1618432","2024-09-16","Validation dwc:eventDate In Range","dwc:Event","dwc:eventDate",,"bdq:earliestValidDate,bdq:latestValidDate","INTERNAL_PREREQUISITES_NOT_MET if dwc:eventDate is bdq:Empty or if the value of dwc:eventDate is not a valid ISO 8601 date; COMPLIANT if the range of dwc:eventDate is entirely within the range bdq:earliestValidDate to bdq:latestValidDate, inclusive, otherwise NOT_COMPLIANT","bdq:earliestValidDate default =""1582-11-15"",bdq:latestValidDate default = current year","Is the value of dwc:eventDate entirely with the Parameter Range?","Conformance: inrange","Validation","SingleRecord","Conformance","InRange",,"[dwc:eventDate=""1962-11-01T10:00-0600"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:eventDate is IN_RANGE""],[dwc:eventDate=""2300-11-01T10:00"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:eventDate is NOT_IN_RANGE""]","VertNet","<ul><li>ISO (2019) ISO 8601-1:2019(en) Date and time — Representations for information interchange — Part 1: Basic rules. https://www.iso.org/obp/ui/</li><li>Wikipedia (2020) ISO 8601. https://en.wikipedia.org/wiki/ISO_8601</li><li>Library of Congress (2019) Extended Date/Time Format (EDTF). https://www.loc.gov/standards/datetime/</li></ul>","Kurator:event_date_qc","FilteredPush event_date_qc [DwCEventDQ.validationEventdateInrange()](https://github.com/FilteredPush/event_date_qc/blob/c17d6e8340f7dd5dfa63a761d4e1cb66c126980a/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L2229)","This test provides for a default earliest date, which is 1582-11-15 by convention. That date was chosen because ISO 8601-1 asserts that ""the use of proleptic Gregorian calendar dates prior are not allowed in ISO 8601-1 without prior agreement of the parties exchanging data"", and Darwin Core does not comment on this.  Different calendars have been used at different times in different places, and the transcription of an original date in one calendar into dwc:eventDate, where a Gregorian Calendar is assumed, may or may not have been done with the correct translation of the date, and metadata may or not be present to even identify such records. Given the complexity, and ongoing nature of transitions between calendars, we do not advocate using this test for quality assurance by selecting a transition date and using it as a threshold.","open","TG2 Validation TIME CODED Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_LICENSE_STANDARD","38","https://rs.tdwg.org/bdqcore/terms/version/3136236e-04b6-49ea-8b34-a65f25e3aba1-2023-09-17","https://rs.tdwg.org/bdqcore/terms/3136236e-04b6-49ea-8b34-a65f25e3aba1","2024-09-04","3136236e-04b6-49ea-8b34-a65f25e3aba1","2023-09-17","Validation dcterms:license Standard","Record-level","dcterms:license",,"bdq:sourceAuthority","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if dcterms:license is bdq:Empty; COMPLIANT if the value of the term dcterms:license is in the bdq:sourceAuthority; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""Creative Commons 4.0 Licenses or CC0 {[https://creativecommons.org/]} { Regular Expression [((http(s){0,1}://creativecommons.org/licenses/(by\","Does the value of dcterms:license occur in bdq:sourceAuthority?","Conformance: standard","Validation","SingleRecord","Conformance","Standard",,"[dcterms:license=""https://creativecommons.org/licenses/by/4.0/"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT,  Response.comment=""dcterms:license matches a term in the bdq:sourceAuthority""],[dcterms:license=""GPL"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dcterms:license does not match a term in the bdq:sourceAuthority""]","John Wieczorek","<ul><li>Dublin Core (2020) License Document. https://www.dublincore.org/specifications/dublin-core/dcmi-terms/terms/LicenseDocument/</li><li>Creative Commons (n.dat.) About the Licenses. https://creativecommons.org/licenses/</li></ul>","","","The license at the record level might be derived from the license of the data set from which the record is retrieved. This test must return NOT_COMPLIANT if there is leading or trailing whitespace or there are leading or trailing non-printing characters.   The  canonical form of the Creative Commons license IRI has nothing after the version  e.g. https://creativecommons.org/licenses/by/4.0/, but may be followed by deed or legalcode e.g. https://creativecommons.org/licenses/by/4.0/deed and this may be followed by a language code.   However, only some two letter language codes have translations, and some translations are identified by a longer string than the two letter language code. Errors in the language code, or specifying a language code for which a translation doesn't exist returns a 404 error instead of redirecting to the more general license IRI.  As of 2024-02-28 deed.mi doesn't exist yet, but legalcode.mi does.","open","TG2 Validation OTHER Test VOCABULARY Conformance Parameterized CORE","bdq:Record-Management"
"VALIDATION_MINELEVATION_INRANGE","39","https://rs.tdwg.org/bdqcore/terms/version/0bb8297d-8f8a-42d2-80c1-558f29efe798-2023-09-17","https://rs.tdwg.org/bdqcore/terms/0bb8297d-8f8a-42d2-80c1-558f29efe798","2024-09-04","0bb8297d-8f8a-42d2-80c1-558f29efe798","2023-09-17","Validation dwc:minimumElevationInMeters In Range","dcterms:Location","dwc:minimumElevationInMeters",,"bdq:minimumValidElevationInMeters,bdq:maximumValidElevationInMeters","INTERNAL_PREREQUISITES_NOT_MET if dwc:minimumElevationInMeters is bdq:Empty or the value is not a number; COMPLIANT if the value of dwc:minimumElevationInMeters is within the range of bdq:minimumValidElevationInMeters to bdq:maximumValidElevationInMeters inclusive; otherwise NOT_COMPLIANT","bdq:minimumValidElevationInMeters default = ""-430"",bdq:maximumValidElevationInMeters default = ""8850""","Is the value of dwc:minimumElevationInMeters within the Parameter range?","Conformance: inrange","Validation","SingleRecord","Conformance","InRange",,"[dwc:minimumElevationInMeters=""0"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:minimumElevationInMeters is IN_RANGE""],[dwc:minimumElevationInMeters=""-500"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:minimumElevationInMeters is NOT_IN_RANGE (<-430)""]","ALA, GBIF","<ul><li>Wikipedia (2020) List of elevations extremes by country. https://en.wikipedia.org/wiki/List_of_elevation_extremes_by_country_</li><li>Wikipedia (2020) Extreme points of Antarctica. https://en.wikipedia.org/wiki/Extreme_points_of_Antarctica</li><li>Chapman AD and Wieczorek, JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","We have rounded up the Parameter values. We are aware of sub-ice elevations in Antarctica to -3,500m and possible sampling in the atmosphere above the elevation of the top of Mt Everest that would fail this test but we support the odd false positive.","open","TG2 Validation SPACE Test Conformance Parameterized CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_LOCATION_NOTEMPTY","40","https://rs.tdwg.org/bdqcore/terms/version/58486cb6-1114-4a8a-ba1e-bd89cfe887e9-2023-09-18","https://rs.tdwg.org/bdqcore/terms/58486cb6-1114-4a8a-ba1e-bd89cfe887e9","2024-09-04","58486cb6-1114-4a8a-ba1e-bd89cfe887e9","2023-09-18","Validation dcterms:Location Not Empty","dcterms:Location","dwc:higherGeographyID,dwc:higherGeography,dwc:continent,dwc:country,dwc:countryCode,dwc:stateProvince,dwc:county,dwc:municipality,dwc:waterBody,dwc:island,dwc:islandGroup,dwc:locality,dwc:locationID,dwc:verbatimLocality,dwc:decimalLatitude,dwc:decimalLongitude,dwc:verbatimCoordinates,dwc:verbatimLatitude,dwc:verbatimLongitude,dwc:footprintWKT",,"","COMPLIANT if at least one term needed to determine the location of the entity exists and is bdq:NotEmpty; otherwise NOT_COMPLIANT","","Is there a value in any of the Darwin Core spatial terms that could specify a location?","Completeness: notempty","Validation","SingleRecord","Completeness","NotEmpty",,"[dwc:locationID=""https://opencontext.org/subjects/e54377f7-4452-4315-b676-40679b10c4d9"", dwc:higherGeographyID="""", dwc:higherGeography="""",  dwc:continent="""", dwc:waterBody="""", dwc:islandGroup="""", dwc:island="""", dwc:country="""", dwc:countryCode="""", dwc:stateProvince="""", dwc:county="""", dwc:municipality="""", dwc:locality="""", dwc:verbatimLocality="""", dwc:decimalLatitude="""", dwc:decimalLongitude="""", dwc:coordinateUncertaintyInMeters="""", dwc:geodeticDatum="""", dwc:verbatimCoordinates="""", dwc:verbatimLatitude="""", dwc:verbatimLongitude="""", dwc:footprintWKT="""": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:LocationID is bdq:NotEmpty""],[dwc:locationID="""", dwc:higherGeographyID="""", dwc:higherGeography="""", dwc:continent="""", dwc:waterBody="""", dwc:islandGroup="""", dwc:island="""", dwc:country="""", dwc:countryCode="""", dwc:stateProvince="""", dwc:county="""", dwc:municipality="""", dwc:locality="""", dwc:verbatimLocality="""", dwc:decimalLatitude="""", dwc:decimalLongitude="""", dwc:coordinateUncertaintyInMeters="""", dwc:geodeticDatum="""", dwc:verbatimCoordinates="""", dwc:verbatimLatitude="""", dwc:verbatimLongitude="""", dwc:footprintWKT="""": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""All location fields are bdq:Empty""]","Lee Belbin","<ul><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","","","Only fails if all of the relevant fields of the Darwin Core Location class are EMPTY or do not exist.  Relevant Darwin Core fields include dwc:locationID, dwc:higherGeographyID, dwc:higherGeography, dwc:continent, dwc:waterBody, dwc:islandGroup, dwc:island, dwc:country, dwc:countryCode, dwc:stateProvince, dwc:county, dwc:municipality, dwc:locality, dwc:verbatimLocality, dwc:decimalLatitude, dwc:decimalLongitude, dwc:verbatimCoordinates, dwc:verbatimLatitude, dwc:verbatimLongitude, dwc:footprintWKT. Elevation and/or depth alone are deemed insufficient to meaningfully locate a position on the earth.","open","TG2 Validation SPACE Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"AMENDMENT_DCTYPE_STANDARDIZED","41","https://rs.tdwg.org/bdqcore/terms/version/bd385eeb-44a2-464b-a503-7abe407ef904-2024-08-16","https://rs.tdwg.org/bdqcore/terms/bd385eeb-44a2-464b-a503-7abe407ef904","2024-09-05","bd385eeb-44a2-464b-a503-7abe407ef904","2024-08-16","Amendment dc:type Standard","Record-level","dc:type",,"","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if the value of dc:type is bdq:Empty; AMENDED the value of dc:type if it can be unambiguously interpreted as a term name in the bdq:sourceAuthority; otherwise NOT_AMENDED","bdq:sourceAuthority is ""DCMI Type Vocabulary"" {[http://purl.org/dc/terms/DCMIType]} {""DCMI Type Vocabulary List Of Terms"" [https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/2010-10-11/]}","Proposes an amendment to the value of dc:type using the DCMI type vocabulary.","Conformance: standardized","Amendment","SingleRecord","Conformance",,"Standardized","[dc:type=""evnt"": Response.status=AMENDED, Response.result=dc:type=""Event"", Response.comment=""dc:type contains an interpretable value""],[dc:type=""X"": Response.status=NOT_AMENDED, Response.result="""", Response.comment=""dc:type contains an uninterpretable value""]","VertNet","<ul><li>Dublin Core (2012) DCMI Type Vocabulary. https://www.dublincore.org/specifications/dublin-core/dcmi-type-vocabulary/</li></ul>","","","dc:type holds literals (e.g. PhysicalObject), while dcterms:type holds an IRI for the resource (e.g. http://purl.org/dc/dcmitype/PhysicalObject), see the Darwin Core RDF guide https://dwc.tdwg.org/rdf/#32-imported-dublin-core-terms-for-which-only-literal-objects-are-appropriate-normative.   Implementations of this Amendment are expected be able to amend IRI values to the literals, as well as removing leading/trailing whitespace and correcting case errors in the literal.","open","TG2 Amendment OTHER Test Conformance ISO/DCMI STANDARD CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"VALIDATION_COUNTRY_NOTEMPTY","42","https://rs.tdwg.org/bdqcore/terms/version/6ce2b2b4-6afe-4d13-82a0-390d31ade01c-2024-09-27","https://rs.tdwg.org/bdqcore/terms/6ce2b2b4-6afe-4d13-82a0-390d31ade01c","2024-09-27","6ce2b2b4-6afe-4d13-82a0-390d31ade01c","2024-09-27","Validation dwc:country Not Empty","dcterms:Location","dwc:country","dwc:countryCode","","COMPLIANT if dwc:country is bdq:NotEmpty or dwc:countryCode has a value of ""XZ"" and either dwc:country is bdq:Empty or has a value of ""High seas""; otherwise NOT_COMPLIANT ?","","Is there a value in dwc:country?","Completeness: notempty","Validation","SingleRecord","Completeness","NotEmpty",,"[dwc:country=""Eswatini"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:country is bdq:NotEmpty""],[dwc:country="""": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:country is bdq:Empty""]","","<ul><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li></ul>","FilteredPush: geo_ref_qc","[geo_ref_qc DwCGeoRefDQ.validationCountryNotEmpty](https://github.com/FilteredPush/geo_ref_qc/blob/fcad4a3757db9bd6ba36fe41064ce015eeede2e3/src/main/java/org/filteredpush/qc/georeference/DwCGeoRefDQ.java#L478)","Country is expected to be either bdq:Empty or ideally have a value of ""High seas"" or an agreed equivalent if material comes from the high seas, or from those portions of Antarctica outside of any sovereign nation.","open","TG2 Validation SPACE CODED Test Completeness CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_SCIENTIFICNAME_FOUND","46","https://rs.tdwg.org/bdqcore/terms/version/3f335517-f442-4b98-b149-1e87ff16de45-2023-09-17","https://rs.tdwg.org/bdqcore/terms/3f335517-f442-4b98-b149-1e87ff16de45","2024-09-05","3f335517-f442-4b98-b149-1e87ff16de45","2023-09-17","Validation dwc:scientificName Found","dwc:Taxon","dwc:scientificName",,"bdq:sourceAuthority","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if dwc:scientificName is bdq:Empty; COMPLIANT if there is a match of the contents of dwc:scientificName in the bdq:sourceAuthority; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""GBIF Backbone Taxonomy"" {[https://doi.org/10.15468/39omei]} {API endpoint [https://api.gbif.org/v1/species?datasetKey=d7dddbf4-2cf0-4f39-9b2a-bb099caae36c&name=]}","Is there a match of the contents of dwc:scientificName with the bdq:sourceAuthority?","Conformance: found","Validation","SingleRecord","Conformance","Found",,"[dwc:scientificName=""Eucalyptus camaldulensis"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:scientificName found in the bdq:sourceAuthority""],[dwc:scientificName=""Capulus intort"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:scientificName was not found in the bdq:sourceAuthority""]","ALA","<ul><li>GBIF Secretariat (2019). GBIF Backbone Taxonomy. Checklist dataset (https://doi.org/10.15468/39omei)</li></ul>","FP-Akka","","The purpose of this test is to detect errors in the scientific name but is dependent on the abilities of the parsing of the bdq:sourceAuthority. For research users of biodiversity data doing quality assurance, VALIDATION_TAXON_UNAMBIGUOUS (4c09f127-737b-4686-82a0-7c8e30841590) handles their needs, but for curators of data sets doing quality control, this test provides a specific subset of targeted data cleaning, making it a valuable test to include for the quality control case.","open","TG2 Validation NAME Test VOCABULARY Conformance Parameterized CORE","bdq:Taxon-Management, bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management, bdq:Biotic-Relationships"
"VALIDATION_OCCURRENCEID_NOTEMPTY","47","https://rs.tdwg.org/bdqcore/terms/version/c486546c-e6e5-48a7-b286-eba7f5ca56c4-2023-09-17","https://rs.tdwg.org/bdqcore/terms/c486546c-e6e5-48a7-b286-eba7f5ca56c4","2024-09-04","c486546c-e6e5-48a7-b286-eba7f5ca56c4","2023-09-17","Validation dwc:occurrenceID Not Empty","dwc:Occurrence","dwc:occurrenceID",,"","COMPLIANT if dwc:occurrenceID is bdq:NotEmpty; otherwise NOT_COMPLIANT","","Is there a value in dwc:occurrenceID?","Completeness: notempty","Validation","SingleRecord","Completeness","NotEmpty",,"[dwc:occurrenceID=""https://www.inaturalist.org/observations/43047701"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:occurrenceID conforms to GUID structure""],[dwc:occurrenceID="""": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:occurrenceID is bdq:Empty""]","VertNet","","","","","open","TG2 Validation OTHER Test Completeness CORE","bdq:Record-Management"
"AMENDMENT_COUNTRYCODE_STANDARDIZED","48","https://rs.tdwg.org/bdqcore/terms/version/fec5ffe6-3958-4312-82d9-ebcca0efb350-2024-09-18","https://rs.tdwg.org/bdqcore/terms/fec5ffe6-3958-4312-82d9-ebcca0efb350","2024-09-18","fec5ffe6-3958-4312-82d9-ebcca0efb350","2024-09-18","Amendment dwc:countryCode Standard","dcterms:Location","dwc:countryCode",,"","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISTITES_NOT_MET if the value of dwc:countryCode is bdq:Empty; AMENDED the value of dwc:countryCode if it can be unambiguously interpreted in the bdq:sourceAuthority; otherwise NOT_AMENDED","bdq:sourceAuthority default = ""ISO 3166 Country Codes"" {[https://www.iso.org/iso-3166-country-codes.html]} {ISO 3166-1-alpha-2 Country Code search [https://www.iso.org/obp/ui/#search]}","Proposes an amendment to the value of dwc:countryCode if it can be interpreted as an ISO country code.","Conformance: standardized","Amendment","SingleRecord","Conformance",,"Standardized","[dwc:countryCode=""Australia"": Response.status=AMENDED, Response.result=dwc:countryCode=""AU"", Response.comment=""dwc:countryCode contains an interpretable value""],[dwc:countryCode=""Aust."": Response.status=NOT_AMENDED, Response.result=, Response.comment=""dwc:countryCode contains an ambiguous value""]","","<ul><li>ISO (n.dat.) ISO 3166 Country Codes. https://www.iso.org/iso-3166-country-codes.html</li><li>Wikipedia (2020) ISO 3166-1 alpha-2. https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2</li><li>DataHub (2018) List of all countries with their two digit codes (ISO 3166-1). https://datahub.io/core/country-list</li><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853.</li></ul>","","","","open","TG2 Amendment SPACE Test VOCABULARY Conformance ISO/DCMI STANDARD CORE","bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_YEAR_NOTEMPTY","49","https://rs.tdwg.org/bdqcore/terms/version/c09ecbf9-34e3-4f3e-b74a-8796af15e59f-2023-09-17","https://rs.tdwg.org/bdqcore/terms/c09ecbf9-34e3-4f3e-b74a-8796af15e59f","2024-09-04","c09ecbf9-34e3-4f3e-b74a-8796af15e59f","2023-09-17","Validation dwc:year Not Empty","dwc:Event","dwc:year",,"","COMPLIANT if dwc:year is bdq:NotEmpty; otherwise NOT_COMPLIANT","","Is there a value in dwc:year?","Completeness: notempty","Validation","SingleRecord","Completeness","NotEmpty",,"[dwc:year=""1949"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""dwc:year is bdq:NotEmpty""],[dwc:year="""": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""dwc:year is bdq:Empty""]","TG2-Gainesville","","FilteredPush/Kurator:event_date_qc [10.5281/zenodo.596795](https://doi.org/10.5281/zenodo.596795).","event_date_qc v3.0.0 [DwCEventDQ.validationYearNotEmpty()](https://github.com/FilteredPush/event_date_qc/blob/v3.0.0/src/main/java/org/filteredpush/qc/date/DwCEventDQ.java#L217)","","open","TG2 Validation TIME CODED Test Completeness CORE","bdq:Alien-Species, bdq:Spatial-Temporal_Patterns, bdq:Record-Management"
"VALIDATION_COORDINATESCOUNTRYCODE_CONSISTENT","50","https://rs.tdwg.org/bdqcore/terms/version/adb27d29-9f0d-4d52-b760-a77ba57a69c9-2024-08-30","https://rs.tdwg.org/bdqcore/terms/adb27d29-9f0d-4d52-b760-a77ba57a69c9","2024-09-26","adb27d29-9f0d-4d52-b760-a77ba57a69c9","2024-08-30","Validation Coordinates dwc:countryCode Consistent","dcterms:Location","dwc:countryCode,dwc:decimalLatitude,dwc:decimalLongitude",,"bdq:sourceAuthority,bdq:spatialBufferInMeters","EXTERNAL_PREREQUISITES_NOT_MET if the bdq:sourceAuthority is not available; INTERNAL_PREREQUISITES_NOT_MET if one or more of dwc:decimalLatitude, dwc:decimalLongitude, or dwc:countryCode are bdq:Empty or invalid; COMPLIANT if the geographic coordinates fall on or within the boundary defined by the union of the boundary of the country from dwc:countryCode plus it's Exclusive Economic Zone as found in the bdq:sourceAuthority, if any, plus an exterior buffer given by bdq:spatialBufferInMeters; otherwise NOT_COMPLIANT","bdq:sourceAuthority default = ""10m-admin-1 boundaries UNION with Exclusive Economic Zones"" {[https://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-1-states-provinces/] spatial UNION [https://www.marineregions.org/downloads.php#marbound]},bdq:spatialBufferInMeters default = ""3000""","Do the geographic coordinates fall on or within the boundaries of the territory given in dwc:countryCode or its Exclusive Economic Zone?","Consistency: consistent","Validation","SingleRecord","Consistency","Consistent",,"[dwc:countryCode=""AR"", dwc:decimalLatitude=""-41.0525925872862"", dwc:decimalLongitude=""-71.5310546742521"": Response.status=RUN_HAS_RESULT, Response.result=COMPLIANT, Response.comment=""Coordinates match dwc:countryCode""],[dwc:countryCode=""CL"", dwc:decimalLatitude=""-41.0525925872862"", dwc:decimalLongitude=""-71.5310546742521"": Response.status=RUN_HAS_RESULT, Response.result=NOT_COMPLIANT, Response.comment=""Coordinates are in Argentina, not Chile""],[dwc:countryCode=""ZX"", dwc:decimalLatitude=""-41.0525925872862"", dwc:decimalLongitude=""-71.5310546742521"": Response.status=INTERNAL_PREREQUISTES_NOT_MET, Response.comment=""Input field contains invalid values - ZX is not a valid ISO 3166-1-alpha-2 country code""]","ALA, GBIF, iDigBio","<ul><li>ISO (n.dat.) ISO 3166 Country Codes. https://www.iso.org/iso-3166-country-codes.html</li><li>Wikipedia (2020) ISO 3166-1 alpha-2. https://en.wikipedia.org/wiki/ISO_3166-1_alpha-2</li><li>Flanders Marine Institute (2023) Maritime Boundaries Geodatabase, version 12. Available online at https://www.marineregions.org/. https://doi.org/10.14284/628</li><li>Kelso NV and Patterson T (2010) Introducing Natural Earth data—Naturalearthdata.com. Geographica Technica. Special issue, 2010 pp 82–89. https://technicalgeography.org/pdf/sp_i_2010/12_introducing_natural_earth_data__naturaleart.pdf</li><li>Natural Earth (2022) Natural Earth Free vector and raster map data at 1:10m, 1:50m, and 1:110m scales. v5.1.2. https://www.naturalearthdata.com/,  https://github.com/nvkelso/natural-earth-vector/releases/tag/v5.1.2.</li><li>Natural Earth (2022) Admin 1 – States, provinces. v5.1.1 2022-05-12. https://www.naturalearthdata.com/downloads/10m-cultural-vectors/10m-admin-1-states-provinces/</li><li>Chapman AD and Wieczorek JR (2020) Georeferencing Best Practices. Copenhagen: GBIF Secretariat. https://doi.org/10.15468/doc-gg7h-s853</li><li>Dooley, JF Jnr. (2005) An inventory and comparison of globally consistent geospatial databases and libraries. Rome: FAO. http://www.fao.org/3/a0118e/a0118e00.htm#Contents</li></ul>","Kurator:geo_ref_qc","https://github.com/FilteredPush/geo_ref_qc/blob/master/src/main/java/org/filteredpush/qc/georeference/DwCGeoRefDQ.java#L80","dwc:coordinatePrecicision and dwc:coordinateUncertaintyInMeters (if present) imply a potential displacement of the provided coordinates. These two terms can be considered spatial buffers. Likewise, country polygons cannot be 100% accurate at all scales (Dooley 2005), so a spatial buffer of the country boundaries is justified. When dwc:countryCode=XZ (for High Seas), the coordinate should fall into a marine region out side of the EEZ of any country.  Taking the spatial buffers into account does however greatly complicate both the logic and the implementation of such tests. The same applies to potential conversion of the Spatial Reference System (SRS) of dwc:decimalLatitude and dwc:decimalLongitude to the SRS used in the bdq:sourceAuthority.","open","TG2 Validation SPACE Test VOCABULARY Consistency ISO/DCMI STANDARD Parameterized CORE","bdq:Spatial-Temporal_Patterns"
